Target,Actual,Predicted,Residual
Ra,5.838,5.8782,-0.0402
Ra,5.838,5.8485,-0.0105
Ra,5.886,5.841,0.045
Ra,5.894,5.9668,-0.0728
Ra,5.918,5.9419,-0.0239
Ra,5.48,5.6945,-0.2145
Ra,5.087,5.5531,-0.4661
Ra,4.871,5.5068,-0.6358
Ra,5.203,5.5164,-0.3134
Ra,5.416,5.8392,-0.4232
Ra,6.353,5.7074,0.6456
Ra,4.632,5.3605,-0.7285
Ra,5.729,5.9519,-0.2229
Ra,5.166,5.6478,-0.4818
Ra,4.632,5.1477,-0.5157
Ra,4.714,5.3127,-0.5987
Ra,4.707,5.4615,-0.7545
Ra,4.733,5.5384,-0.8054
Ra,4.656,5.459,-0.803
Ra,4.622,5.3546,-0.7326
Ra,5.719,5.998,-0.279
Ra,6.175,5.9599,0.2151
Ra,5.416,5.8425,-0.4265
Ra,6.08,5.8566,0.2234
Ra,5.473,5.8048,-0.3318
Ra,5.448,5.8834,-0.4354
Ra,5.902,5.8988,0.0032
Ra,5.489,5.7461,-0.2571
Ra,6.073,5.9635,0.1095
Ra,5.312,5.7301,-0.4181
Ra,6.078,5.8493,0.2287
Ra,5.324,5.8961,-0.5721
Ra,5.849,5.844,0.005
Ra,6.087,5.9901,0.0969
Ra,6.009,5.919,0.09
Ra,5.965,5.8398,0.1252
Ra,5.989,5.8495,0.1395
Ra,6.049,5.9199,0.1291
Ra,5.991,5.893,0.098
Ra,5.604,5.5722,0.0318
Ra,6.118,5.9251,0.1929
Ra,5.747,5.7098,0.0372
Ra,5.942,5.9052,0.0368
Ra,5.977,5.7507,0.2263
Ra,6.092,5.9275,0.1645
Ra,6.093,5.9052,0.1878
Ra,5.969,5.9485,0.0205
Ra,6.018,5.7268,0.2912
Ra,6.164,6.0054,0.1586
Ra,6.107,6.0288,0.0782
Ra,6.091,5.7149,0.3761
Ra,6.289,5.9227,0.3663
Ra,6.155,5.9874,0.1676
Ra,6.13,5.8031,0.3269
Ra,6.252,6.0358,0.2162
Ra,6.462,6.1085,0.3535
Ra,5.415,5.5336,-0.1186
Ra,5.71,5.2693,0.4407
Ra,6.481,5.9843,0.4967
Ra,6.543,5.8977,0.6453
Ra,6.025,5.853,0.172
Ra,6.681,5.533,1.148
Ra,5.955,5.9473,0.0077
Ra,5.861,5.763,0.098
Ra,5.69,5.8824,-0.1924
Ra,5.376,5.8708,-0.4948
Ra,6.247,6.0318,0.2152
Ra,6.111,6.127,-0.016
Ra,6.268,5.9435,0.3245
Ra,6.299,6.1026,0.1964
Ra,6.258,6.0134,0.2446
Ra,6.305,6.1594,0.1456
Ra,6.258,6.0883,0.1697
Ra,6.29,6.1923,0.0977
Ra,6.348,6.0488,0.2992
Ra,6.229,5.9168,0.3122
Ra,6.563,6.0557,0.5073
Ra,6.906,6.3027,0.6033
Ra,6.368,6.084,0.284
Ra,6.206,6.3165,-0.1105
Ra,6.947,6.2743,0.6727
Ra,7.304,6.5227,0.7813
Ra,6.524,6.4513,0.0727
Ra,6.977,6.2733,0.7037
Ra,6.351,6.3611,-0.0101
Ra,5.817,5.7894,0.0276
Ra,6.413,5.8296,0.5834
Ra,5.82,5.8817,-0.0617
Ra,6.081,6.0173,0.0637
Ra,5.874,6.0153,-0.1413
Ra,5.798,5.9209,-0.1229
Ra,5.726,5.9235,-0.1975
Ra,5.5,5.7844,-0.2844
Ra,5.545,5.7714,-0.2264
Ra,5.983,5.7879,0.1951
Ra,5.948,5.79,0.158
Ra,5.462,5.722,-0.26
Ra,5.502,5.8056,-0.3036
Ra,5.517,5.7843,-0.2673
Ra,6.661,6.8123,-0.1513
Ra,6.72,6.6605,0.0595
Ra,6.274,6.2573,0.0167
Ra,6.643,6.6387,0.0043
Ra,7.079,6.6922,0.3868
Ra,7.205,6.6698,0.5352
Ra,6.997,6.6355,0.3615
Ra,7.36,6.6262,0.7338
Ra,7.36,6.6908,0.6692
Ra,7.027,6.7672,0.2598
Ra,6.759,6.6249,0.1341
Ra,7.36,6.835,0.525
Ra,7.32,6.7187,0.6013
Ra,6.471,6.3143,0.1567
Ra,6.312,6.2692,0.0428
Ra,7.285,6.6939,0.5911
Ra,7.211,6.5418,0.6692
Ra,7.341,6.6845,0.6565
Ra,7.36,6.622,0.738
Ra,7.36,6.6604,0.6996
Ra,6.931,6.7449,0.1861
Ra,6.795,6.6691,0.1259
Ra,6.825,6.447,0.378
Ra,6.675,6.0393,0.6357
Ra,6.9,6.2634,0.6366
Ra,6.974,6.5101,0.4639
Ra,5.721,6.0325,-0.3115
Ra,5.954,5.9727,-0.0187
Ra,6.835,6.6608,0.1742
Ra,6.219,6.1255,0.0935
Ra,6.876,6.7205,0.1555
Ra,6.49,6.2103,0.2797
Ra,6.722,6.386,0.336
Ra,4.803,5.0339,-0.2309
Ra,4.38,4.9658,-0.5858
Ra,4.72,4.8862,-0.1662
Ra,5.484,5.7567,-0.2727
Ra,5.485,5.0138,0.4712
Ra,4.826,5.1598,-0.3338
Ra,4.803,4.8277,-0.0247
Ra,5.384,5.2167,0.1673
Ra,5.168,5.6283,-0.4603
Ra,4.686,4.6754,0.0106
Ra,4.517,4.7802,-0.2632
Ra,4.404,4.9319,-0.5279
Ra,4.388,4.6101,-0.2221
Ra,4.669,4.8705,-0.2015
Ra,4.434,4.7963,-0.3623
Ra,4.709,4.9299,-0.2209
Ra,5.912,5.6637,0.2483
Ra,5.912,5.7574,0.1546
Ra,5.906,5.8594,0.0466
Ra,5.856,5.404,0.452
Ra,4.9,5.5123,-0.6123
Ra,5.492,5.6193,-0.1273
Ra,5.955,5.5899,0.3651
Ra,6.025,5.9137,0.1113
Ra,4.854,5.7435,-0.8895
Ra,6.151,5.9773,0.1737
Ra,5.011,5.5339,-0.5229
Ra,5.862,5.7588,0.1032
Ra,5.887,5.6593,0.2277
Ra,6.135,5.9693,0.1657
Ra,5.885,5.8349,0.0501
Ra,5.912,5.7701,0.1419
Ra,4.608,5.4958,-0.8878
Ra,5.838,5.7862,0.0518
Ra,5.55,5.892,-0.342
Ra,5.767,5.9273,-0.1603
Ra,5.781,5.7123,0.0687
Ra,5.888,5.8185,0.0695
Ra,5.784,5.7105,0.0735
Ra,5.756,5.7744,-0.0184
Ra,5.724,5.7113,0.0127
Ra,6.052,5.994,0.058
Ra,6.223,6.1216,0.1014
Ra,5.451,5.4966,-0.0456
Ra,5.992,5.9323,0.0597
Ra,6.649,6.2525,0.3965
Ra,5.845,5.926,-0.081
Ra,5.403,5.6132,-0.2102
Ra,6.137,6.2033,-0.0663
Ra,5.793,5.7915,0.0015
Ra,5.807,5.9714,-0.1644
Ra,6.475,6.2249,0.2501
Ra,5.726,5.7759,-0.0499
Ra,6.283,6.2377,0.0453
Ra,5.856,5.9859,-0.1299
Ra,5.562,5.695,-0.133
Ra,5.763,5.602,0.161
Ra,5.79,5.7703,0.0197
Ra,6.649,6.2533,0.3957
Ra,5.906,5.7813,0.1247
Ra,5.823,5.9159,-0.0929
Ra,6.028,5.9253,0.1027
Ra,5.951,5.927,0.024
Ra,5.861,5.8621,-0.0011
Ra,5.826,5.7108,0.1152
Ra,5.775,5.7831,-0.0081
Ra,6.454,6.3673,0.0867
Ra,6.338,6.46,-0.122
Ra,6.457,6.2527,0.2043
Ra,6.063,6.3667,-0.3037
Ra,6.416,6.2352,0.1808
Ra,6.259,6.1782,0.0808
Ra,5.704,5.7404,-0.0364
Ra,6.071,5.8863,0.1847
Ra,5.731,5.7287,0.0023
Ra,6.021,5.7157,0.3053
Ra,5.636,5.5705,0.0655
Ra,6.273,5.815,0.458
Ra,5.762,5.7287,0.0333
Ra,6.324,5.8562,0.4678
Ra,6.444,6.362,0.082
Ra,6.712,6.2444,0.4676
Ra,6.356,6.0964,0.2596
Ra,6.256,6.2412,0.0148
Ra,5.998,5.8845,0.1135
Ra,5.581,5.8379,-0.2569
Ra,6.305,6.0114,0.2936
Ra,5.848,5.7626,0.0854
Ra,6.228,6.1947,0.0333
Ra,6.226,6.0953,0.1307
Ra,6.18,6.096,0.084
Ra,5.982,6.2429,-0.2609
Ra,5.959,6.0266,-0.0676
Ra,6.334,6.2567,0.0773
Ra,6.015,6.2371,-0.2221
Ra,5.848,6.0697,-0.2217
Ra,6.065,6.3624,-0.2974
Ra,6.286,6.1584,0.1276
Ra,6.099,6.0268,0.0722
Ra,6.461,6.2247,0.2363
Ra,6.847,6.4492,0.3978
Ra,7.076,6.7605,0.3155
Ra,7.014,7.0303,-0.0163
Ra,6.596,6.6134,-0.0174
Ra,6.617,7.0347,-0.4177
Ra,7.012,6.7521,0.2599
Ra,7.097,7.012,0.085
Ra,7.447,6.8305,0.6165
Ra,6.845,6.886,-0.041
Ra,7.557,7.2728,0.2842
Ra,6.709,6.568,0.141
Ra,7.052,6.7808,0.2712
Ra,7.151,6.7393,0.4117
Ra,7.21,7.08,0.13
Ra,7.184,6.908,0.276
Ra,7.088,6.5987,0.4893
Ra,6.987,6.6997,0.2873
Ra,7.251,6.7808,0.4702
Ra,7.274,6.9245,0.3495
Ra,7.221,6.829,0.392
Ra,7.216,6.7791,0.4369
Ra,6.908,6.855,0.053
Ra,7.288,6.8503,0.4377
Ra,7.01,6.9425,0.0675
Ra,6.891,6.7967,0.0943
Ra,7.171,6.7713,0.3997
Ra,7.224,6.7373,0.4867
Ra,7.286,6.89,0.396
Ra,7.297,6.7802,0.5168
Ra,6.777,6.7099,0.0671
Ra,6.683,6.7619,-0.0789
