Target,Residual
Ra,-0.0402
Ra,-0.0105
Ra,0.045
Ra,-0.0728
Ra,-0.0239
Ra,-0.2145
Ra,-0.4661
Ra,-0.6358
Ra,-0.3134
Ra,-0.4232
Ra,0.6456
Ra,-0.7285
Ra,-0.2229
Ra,-0.4818
Ra,-0.5157
Ra,-0.5987
Ra,-0.7545
Ra,-0.8054
Ra,-0.803
Ra,-0.7326
Ra,-0.279
Ra,0.2151
Ra,-0.4265
Ra,0.2234
Ra,-0.3318
Ra,-0.4354
Ra,0.0032
Ra,-0.2571
Ra,0.1095
Ra,-0.4181
Ra,0.2287
Ra,-0.5721
Ra,0.005
Ra,0.0969
Ra,0.09
Ra,0.1252
Ra,0.1395
Ra,0.1291
Ra,0.098
Ra,0.0318
Ra,0.1929
Ra,0.0372
Ra,0.0368
Ra,0.2263
Ra,0.1645
Ra,0.1878
Ra,0.0205
Ra,0.2912
Ra,0.1586
Ra,0.0782
Ra,0.3761
Ra,0.3663
Ra,0.1676
Ra,0.3269
Ra,0.2162
Ra,0.3535
Ra,-0.1186
Ra,0.4407
Ra,0.4967
Ra,0.6453
Ra,0.172
Ra,1.148
Ra,0.0077
Ra,0.098
Ra,-0.1924
Ra,-0.4948
Ra,0.2152
Ra,-0.016
Ra,0.3245
Ra,0.1964
Ra,0.2446
Ra,0.1456
Ra,0.1697
Ra,0.0977
Ra,0.2992
Ra,0.3122
Ra,0.5073
Ra,0.6033
Ra,0.284
Ra,-0.1105
Ra,0.6727
Ra,0.7813
Ra,0.0727
Ra,0.7037
Ra,-0.0101
Ra,0.0276
Ra,0.5834
Ra,-0.0617
Ra,0.0637
Ra,-0.1413
Ra,-0.1229
Ra,-0.1975
Ra,-0.2844
Ra,-0.2264
Ra,0.1951
Ra,0.158
Ra,-0.26
Ra,-0.3036
Ra,-0.2673
Ra,-0.1513
Ra,0.0595
Ra,0.0167
Ra,0.0043
Ra,0.3868
Ra,0.5352
Ra,0.3615
Ra,0.7338
Ra,0.6692
Ra,0.2598
Ra,0.1341
Ra,0.525
Ra,0.6013
Ra,0.1567
Ra,0.0428
Ra,0.5911
Ra,0.6692
Ra,0.6565
Ra,0.738
Ra,0.6996
Ra,0.1861
Ra,0.1259
Ra,0.378
Ra,0.6357
Ra,0.6366
Ra,0.4639
Ra,-0.3115
Ra,-0.0187
Ra,0.1742
Ra,0.0935
Ra,0.1555
Ra,0.2797
Ra,0.336
Ra,-0.2309
Ra,-0.5858
Ra,-0.1662
Ra,-0.2727
Ra,0.4712
Ra,-0.3338
Ra,-0.0247
Ra,0.1673
Ra,-0.4603
Ra,0.0106
Ra,-0.2632
Ra,-0.5279
Ra,-0.2221
Ra,-0.2015
Ra,-0.3623
Ra,-0.2209
Ra,0.2483
Ra,0.1546
Ra,0.0466
Ra,0.452
Ra,-0.6123
Ra,-0.1273
Ra,0.3651
Ra,0.1113
Ra,-0.8895
Ra,0.1737
Ra,-0.5229
Ra,0.1032
Ra,0.2277
Ra,0.1657
Ra,0.0501
Ra,0.1419
Ra,-0.8878
Ra,0.0518
Ra,-0.342
Ra,-0.1603
Ra,0.0687
Ra,0.0695
Ra,0.0735
Ra,-0.0184
Ra,0.0127
Ra,0.058
Ra,0.1014
Ra,-0.0456
Ra,0.0597
Ra,0.3965
Ra,-0.081
Ra,-0.2102
Ra,-0.0663
Ra,0.0015
Ra,-0.1644
Ra,0.2501
Ra,-0.0499
Ra,0.0453
Ra,-0.1299
Ra,-0.133
Ra,0.161
Ra,0.0197
Ra,0.3957
Ra,0.1247
Ra,-0.0929
Ra,0.1027
Ra,0.024
Ra,-0.0011
Ra,0.1152
Ra,-0.0081
Ra,0.0867
Ra,-0.122
Ra,0.2043
Ra,-0.3037
Ra,0.1808
Ra,0.0808
Ra,-0.0364
Ra,0.1847
Ra,0.0023
Ra,0.3053
Ra,0.0655
Ra,0.458
Ra,0.0333
Ra,0.4678
Ra,0.082
Ra,0.4676
Ra,0.2596
Ra,0.0148
Ra,0.1135
Ra,-0.2569
Ra,0.2936
Ra,0.0854
Ra,0.0333
Ra,0.1307
Ra,0.084
Ra,-0.2609
Ra,-0.0676
Ra,0.0773
Ra,-0.2221
Ra,-0.2217
Ra,-0.2974
Ra,0.1276
Ra,0.0722
Ra,0.2363
Ra,0.3978
Ra,0.3155
Ra,-0.0163
Ra,-0.0174
Ra,-0.4177
Ra,0.2599
Ra,0.085
Ra,0.6165
Ra,-0.041
Ra,0.2842
Ra,0.141
Ra,0.2712
Ra,0.4117
Ra,0.13
Ra,0.276
Ra,0.4893
Ra,0.2873
Ra,0.4702
Ra,0.3495
Ra,0.392
Ra,0.4369
Ra,0.053
Ra,0.4377
Ra,0.0675
Ra,0.0943
Ra,0.3997
Ra,0.4867
Ra,0.396
Ra,0.5168
Ra,0.0671
Ra,-0.0789
Ra,0.2774
Ra,0.0133
Ra,0.0953
Ra,-0.144
