Target,Feature,Label,SHAP_value,Feature_value
Ra,f,Fo2 (f),-0.1065,-1.3416
Ra,f,Fo2 (f),-0.1113,-1.3416
Ra,f,Fo2 (f),-0.108,-1.3416
Ra,f,Fo2 (f),-0.0905,-1.3416
Ra,f,Fo2 (f),-0.1116,-1.3416
Ra,f,Fo2 (f),-0.0987,-1.3416
Ra,f,Fo2 (f),-0.1215,-1.3416
Ra,f,Fo2 (f),-0.1088,-1.3416
Ra,f,Fo2 (f),-0.1103,-1.3416
Ra,f,Fo2 (f),-0.102,-1.3416
Ra,f,Fo2 (f),-0.1202,-1.3416
Ra,f,Fo2 (f),-0.1258,-1.3416
Ra,f,Fo2 (f),-0.0899,-1.3416
Ra,f,Fo2 (f),-0.1046,-1.3416
Ra,f,Fo2 (f),-0.1299,-1.3416
Ra,f,Fo2 (f),-0.1276,-1.3416
Ra,f,Fo2 (f),-0.1255,-1.3416
Ra,f,Fo2 (f),-0.1259,-1.3416
Ra,f,Fo2 (f),-0.1302,-1.3416
Ra,f,Fo2 (f),-0.1417,-1.3416
Ra,f,Fo2 (f),-0.1035,-1.3416
Ra,f,Fo2 (f),-0.0904,-1.3416
Ra,f,Fo2 (f),-0.0987,-1.3416
Ra,f,Fo2 (f),-0.0987,-1.3416
Ra,f,Fo2 (f),-0.1068,-1.3416
Ra,f,Fo2 (f),-0.1099,-1.3416
Ra,f,Fo2 (f),-0.1055,-1.3416
Ra,f,Fo2 (f),-0.1082,-1.3416
Ra,f,Fo2 (f),-0.0905,-1.3416
Ra,f,Fo2 (f),-0.1046,-1.3416
Ra,f,Fo2 (f),-0.1004,-1.3416
Ra,f,Fo2 (f),-0.1026,-1.3416
Ra,f,Fo2 (f),-0.1114,-1.3416
Ra,f,Fo2 (f),-0.1296,-0.4472
Ra,f,Fo2 (f),-0.1313,-0.4472
Ra,f,Fo2 (f),-0.1292,-0.4472
Ra,f,Fo2 (f),-0.1187,-0.4472
Ra,f,Fo2 (f),-0.1146,-0.4472
Ra,f,Fo2 (f),-0.1194,-0.4472
Ra,f,Fo2 (f),-0.2612,-0.4472
Ra,f,Fo2 (f),-0.1289,-0.4472
Ra,f,Fo2 (f),-0.1482,-0.4472
Ra,f,Fo2 (f),-0.1249,-0.4472
Ra,f,Fo2 (f),-0.1367,-0.4472
Ra,f,Fo2 (f),-0.1263,-0.4472
Ra,f,Fo2 (f),-0.1251,-0.4472
Ra,f,Fo2 (f),-0.1242,-0.4472
Ra,f,Fo2 (f),-0.1484,-0.4472
Ra,f,Fo2 (f),-0.129,-0.4472
Ra,f,Fo2 (f),-0.1266,-0.4472
Ra,f,Fo2 (f),-0.1191,-0.4472
Ra,f,Fo2 (f),-0.1284,-0.4472
Ra,f,Fo2 (f),-0.1238,-0.4472
Ra,f,Fo2 (f),-0.1191,-0.4472
Ra,f,Fo2 (f),-0.1138,-0.4472
Ra,f,Fo2 (f),-0.1122,-0.4472
Ra,f,Fo2 (f),-0.2792,-0.4472
Ra,f,Fo2 (f),-0.1556,-0.4472
Ra,f,Fo2 (f),-0.1106,-0.4472
Ra,f,Fo2 (f),-0.1062,-0.4472
Ra,f,Fo2 (f),-0.1164,-0.4472
Ra,f,Fo2 (f),-0.1157,-0.4472
Ra,f,Fo2 (f),-0.1237,-0.4472
Ra,f,Fo2 (f),-0.1249,-0.4472
Ra,f,Fo2 (f),-0.1189,-0.4472
Ra,f,Fo2 (f),-0.1288,-0.4472
Ra,f,Fo2 (f),0.0155,0.4472
Ra,f,Fo2 (f),-0.0223,0.4472
Ra,f,Fo2 (f),-0.0211,0.4472
Ra,f,Fo2 (f),-0.0251,0.4472
Ra,f,Fo2 (f),0.005,0.4472
Ra,f,Fo2 (f),-0.0011,0.4472
Ra,f,Fo2 (f),0.0048,0.4472
Ra,f,Fo2 (f),-0.0076,0.4472
Ra,f,Fo2 (f),-0.0344,0.4472
Ra,f,Fo2 (f),-0.0246,0.4472
Ra,f,Fo2 (f),0.0401,0.4472
Ra,f,Fo2 (f),0.0322,0.4472
Ra,f,Fo2 (f),-0.0048,0.4472
Ra,f,Fo2 (f),0.0261,0.4472
Ra,f,Fo2 (f),-0.0005,0.4472
Ra,f,Fo2 (f),0.0451,0.4472
Ra,f,Fo2 (f),0.062,0.4472
Ra,f,Fo2 (f),0.0893,0.4472
Ra,f,Fo2 (f),0.016,0.4472
Ra,f,Fo2 (f),-0.0572,0.4472
Ra,f,Fo2 (f),-0.074,0.4472
Ra,f,Fo2 (f),-0.0822,0.4472
Ra,f,Fo2 (f),-0.0555,0.4472
Ra,f,Fo2 (f),-0.0449,0.4472
Ra,f,Fo2 (f),-0.0573,0.4472
Ra,f,Fo2 (f),-0.1229,0.4472
Ra,f,Fo2 (f),-0.0563,0.4472
Ra,f,Fo2 (f),-0.0747,0.4472
Ra,f,Fo2 (f),-0.0682,0.4472
Ra,f,Fo2 (f),-0.0687,0.4472
Ra,f,Fo2 (f),-0.0584,0.4472
Ra,f,Fo2 (f),-0.0563,0.4472
Ra,f,Fo2 (f),-0.0565,0.4472
Ra,f,Fo2 (f),0.3396,1.3416
Ra,f,Fo2 (f),0.3168,1.3416
Ra,f,Fo2 (f),0.2364,1.3416
Ra,f,Fo2 (f),0.3102,1.3416
Ra,f,Fo2 (f),0.2881,1.3416
Ra,f,Fo2 (f),0.3109,1.3416
Ra,f,Fo2 (f),0.3372,1.3416
Ra,f,Fo2 (f),0.3212,1.3416
Ra,f,Fo2 (f),0.3345,1.3416
Ra,f,Fo2 (f),0.2493,1.3416
Ra,f,Fo2 (f),0.3148,1.3416
Ra,f,Fo2 (f),0.3482,1.3416
Ra,f,Fo2 (f),0.2703,1.3416
Ra,f,Fo2 (f),0.2359,1.3416
Ra,f,Fo2 (f),0.2401,1.3416
Ra,f,Fo2 (f),0.2518,1.3416
Ra,f,Fo2 (f),0.3083,1.3416
Ra,f,Fo2 (f),0.317,1.3416
Ra,f,Fo2 (f),0.2721,1.3416
Ra,f,Fo2 (f),0.3187,1.3416
Ra,f,Fo2 (f),0.302,1.3416
Ra,f,Fo2 (f),0.3095,1.3416
Ra,f,Fo2 (f),0.2771,1.3416
Ra,f,Fo2 (f),0.2354,1.3416
Ra,f,Fo2 (f),0.2466,1.3416
Ra,f,Fo2 (f),0.2242,1.3416
Ra,f,Fo2 (f),0.1591,1.3416
Ra,f,Fo2 (f),0.1521,1.3416
Ra,f,Fo2 (f),0.2394,1.3416
Ra,f,Fo2 (f),0.1796,1.3416
Ra,f,Fo2 (f),0.2092,1.3416
Ra,f,Fo2 (f),0.1518,1.3416
Ra,f,Fo2 (f),0.1851,1.3416
Ra,f,Fo2 (f),-0.1687,-1.3416
Ra,f,Fo2 (f),-0.1793,-1.3416
Ra,f,Fo2 (f),-0.1767,-1.3416
Ra,f,Fo2 (f),-0.1324,-1.3416
Ra,f,Fo2 (f),-0.1633,-1.3416
Ra,f,Fo2 (f),-0.1661,-1.3416
Ra,f,Fo2 (f),-0.1747,-1.3416
Ra,f,Fo2 (f),-0.1612,-1.3416
Ra,f,Fo2 (f),-0.1311,-1.3416
Ra,f,Fo2 (f),-0.186,-1.3416
Ra,f,Fo2 (f),-0.1781,-1.3416
Ra,f,Fo2 (f),-0.1621,-1.3416
Ra,f,Fo2 (f),-0.1937,-1.3416
Ra,f,Fo2 (f),-0.1706,-1.3416
Ra,f,Fo2 (f),-0.1751,-1.3416
Ra,f,Fo2 (f),-0.1799,-1.3416
Ra,f,Fo2 (f),-0.1416,-1.3416
Ra,f,Fo2 (f),-0.1308,-1.3416
Ra,f,Fo2 (f),-0.123,-1.3416
Ra,f,Fo2 (f),-0.1421,-1.3416
Ra,f,Fo2 (f),-0.1421,-1.3416
Ra,f,Fo2 (f),-0.1332,-1.3416
Ra,f,Fo2 (f),-0.1367,-1.3416
Ra,f,Fo2 (f),-0.1249,-1.3416
Ra,f,Fo2 (f),-0.1231,-1.3416
Ra,f,Fo2 (f),-0.1159,-1.3416
Ra,f,Fo2 (f),-0.1348,-1.3416
Ra,f,Fo2 (f),-0.1231,-1.3416
Ra,f,Fo2 (f),-0.1522,-1.3416
Ra,f,Fo2 (f),-0.1167,-1.3416
Ra,f,Fo2 (f),-0.1377,-1.3416
Ra,f,Fo2 (f),-0.1435,-1.3416
Ra,f,Fo2 (f),-0.1517,-1.3416
Ra,f,Fo2 (f),-0.1498,-0.4472
Ra,f,Fo2 (f),-0.1547,-0.4472
Ra,f,Fo2 (f),-0.1515,-0.4472
Ra,f,Fo2 (f),-0.1543,-0.4472
Ra,f,Fo2 (f),-0.1553,-0.4472
Ra,f,Fo2 (f),-0.156,-0.4472
Ra,f,Fo2 (f),-0.1608,-0.4472
Ra,f,Fo2 (f),-0.1549,-0.4472
Ra,f,Fo2 (f),-0.1274,-0.4472
Ra,f,Fo2 (f),-0.1329,-0.4472
Ra,f,Fo2 (f),-0.1442,-0.4472
Ra,f,Fo2 (f),-0.1397,-0.4472
Ra,f,Fo2 (f),-0.1142,-0.4472
Ra,f,Fo2 (f),-0.1314,-0.4472
Ra,f,Fo2 (f),-0.153,-0.4472
Ra,f,Fo2 (f),-0.1333,-0.4472
Ra,f,Fo2 (f),-0.1496,-0.4472
Ra,f,Fo2 (f),-0.1323,-0.4472
Ra,f,Fo2 (f),-0.1284,-0.4472
Ra,f,Fo2 (f),-0.1492,-0.4472
Ra,f,Fo2 (f),-0.1319,-0.4472
Ra,f,Fo2 (f),-0.1276,-0.4472
Ra,f,Fo2 (f),-0.1542,-0.4472
Ra,f,Fo2 (f),-0.1484,-0.4472
Ra,f,Fo2 (f),-0.1492,-0.4472
Ra,f,Fo2 (f),-0.113,-0.4472
Ra,f,Fo2 (f),-0.1579,-0.4472
Ra,f,Fo2 (f),-0.1319,-0.4472
Ra,f,Fo2 (f),-0.133,-0.4472
Ra,f,Fo2 (f),-0.1501,-0.4472
Ra,f,Fo2 (f),-0.1545,-0.4472
Ra,f,Fo2 (f),-0.1552,-0.4472
Ra,f,Fo2 (f),-0.1568,-0.4472
Ra,f,Fo2 (f),-0.0136,0.4472
Ra,f,Fo2 (f),-0.0096,0.4472
Ra,f,Fo2 (f),0.0104,0.4472
Ra,f,Fo2 (f),0.0117,0.4472
Ra,f,Fo2 (f),-0.0136,0.4472
Ra,f,Fo2 (f),0.0106,0.4472
Ra,f,Fo2 (f),-0.1392,0.4472
Ra,f,Fo2 (f),0.0204,0.4472
Ra,f,Fo2 (f),-0.0936,0.4472
Ra,f,Fo2 (f),-0.0865,0.4472
Ra,f,Fo2 (f),-0.1372,0.4472
Ra,f,Fo2 (f),-0.0602,0.4472
Ra,f,Fo2 (f),-0.1269,0.4472
Ra,f,Fo2 (f),-0.0602,0.4472
Ra,f,Fo2 (f),-0.0621,0.4472
Ra,f,Fo2 (f),-0.0307,0.4472
Ra,f,Fo2 (f),-0.0598,0.4472
Ra,f,Fo2 (f),-0.0061,0.4472
Ra,f,Fo2 (f),-0.0526,0.4472
Ra,f,Fo2 (f),-0.1596,0.4472
Ra,f,Fo2 (f),-0.0854,0.4472
Ra,f,Fo2 (f),-0.1485,0.4472
Ra,f,Fo2 (f),-0.03,0.4472
Ra,f,Fo2 (f),-0.0758,0.4472
Ra,f,Fo2 (f),-0.0773,0.4472
Ra,f,Fo2 (f),-0.0619,0.4472
Ra,f,Fo2 (f),-0.0824,0.4472
Ra,f,Fo2 (f),-0.0686,0.4472
Ra,f,Fo2 (f),-0.0653,0.4472
Ra,f,Fo2 (f),-0.065,0.4472
Ra,f,Fo2 (f),-0.0458,0.4472
Ra,f,Fo2 (f),-0.032,0.4472
Ra,f,Fo2 (f),-0.0742,0.4472
Ra,f,Fo2 (f),0.1895,1.3416
Ra,f,Fo2 (f),0.2116,1.3416
Ra,f,Fo2 (f),0.2818,1.3416
Ra,f,Fo2 (f),0.3104,1.3416
Ra,f,Fo2 (f),0.3624,1.3416
Ra,f,Fo2 (f),0.3289,1.3416
Ra,f,Fo2 (f),0.2831,1.3416
Ra,f,Fo2 (f),0.3231,1.3416
Ra,f,Fo2 (f),0.3105,1.3416
Ra,f,Fo2 (f),0.3047,1.3416
Ra,f,Fo2 (f),0.3539,1.3416
Ra,f,Fo2 (f),0.2309,1.3416
Ra,f,Fo2 (f),0.293,1.3416
Ra,f,Fo2 (f),0.2867,1.3416
Ra,f,Fo2 (f),0.3289,1.3416
Ra,f,Fo2 (f),0.3216,1.3416
Ra,f,Fo2 (f),0.2826,1.3416
Ra,f,Fo2 (f),0.2896,1.3416
Ra,f,Fo2 (f),0.3039,1.3416
Ra,f,Fo2 (f),0.3235,1.3416
Ra,f,Fo2 (f),0.3013,1.3416
Ra,f,Fo2 (f),0.3038,1.3416
Ra,f,Fo2 (f),0.3155,1.3416
Ra,f,Fo2 (f),0.3236,1.3416
Ra,f,Fo2 (f),0.3197,1.3416
Ra,f,Fo2 (f),0.2862,1.3416
Ra,f,Fo2 (f),0.2971,1.3416
Ra,f,Fo2 (f),0.2846,1.3416
Ra,f,Fo2 (f),0.2999,1.3416
Ra,f,Fo2 (f),0.3014,1.3416
Ra,f,Fo2 (f),0.3216,1.3416
Ra,f,Fo2 (f),0.2878,1.3416
Ra,f,Fo2 (f),0.3132,1.3416
