Target,Feature,Label,Grid_value,Avg_prediction
Ra,f,Fo2 (f),-1.3416,5.9105
Ra,f,Fo2 (f),-0.4472,5.9113
Ra,f,Fo2 (f),0.4472,6.1006
Ra,f,Fo2 (f),1.3416,6.3196
Ra,P,Fo6 (P),-1.3538,6.0385
Ra,P,Fo6 (P),-1.289,6.0388
Ra,P,Fo6 (P),-1.2241,6.0358
Ra,P,Fo6 (P),-1.1593,6.0462
Ra,P,Fo6 (P),-1.0944,6.0499
Ra,P,Fo6 (P),-1.0296,6.054
Ra,P,Fo6 (P),-0.9647,6.0436
Ra,P,Fo6 (P),-0.8999,6.0483
Ra,P,Fo6 (P),-0.8351,6.048
Ra,P,Fo6 (P),-0.7702,6.0484
Ra,P,Fo6 (P),-0.7054,6.048
Ra,P,Fo6 (P),-0.6405,6.0496
Ra,P,Fo6 (P),-0.5757,6.0561
Ra,P,Fo6 (P),-0.5108,6.0552
Ra,P,Fo6 (P),-0.446,6.024
Ra,P,Fo6 (P),-0.3811,6.0207
Ra,P,Fo6 (P),-0.3163,6.0404
Ra,P,Fo6 (P),-0.2515,6.0453
Ra,P,Fo6 (P),-0.1866,6.0437
Ra,P,Fo6 (P),-0.1218,6.0484
Ra,P,Fo6 (P),-0.0569,6.0522
Ra,P,Fo6 (P),0.0079,6.027
Ra,P,Fo6 (P),0.0728,6.036
Ra,P,Fo6 (P),0.1376,6.0443
Ra,P,Fo6 (P),0.2025,6.1355
Ra,P,Fo6 (P),0.2673,6.1939
Ra,P,Fo6 (P),0.3321,6.1978
Ra,P,Fo6 (P),0.397,6.1963
Ra,P,Fo6 (P),0.4618,6.1946
Ra,P,Fo6 (P),0.5267,6.1867
Ra,P,Fo6 (P),0.5915,6.1942
Ra,P,Fo6 (P),0.6564,6.1955
Ra,P,Fo6 (P),0.7212,6.1976
Ra,P,Fo6 (P),0.786,6.1736
Ra,P,Fo6 (P),0.8509,6.178
Ra,P,Fo6 (P),0.9157,6.1774
Ra,P,Fo6 (P),0.9806,6.1795
Ra,P,Fo6 (P),1.0454,6.1833
Ra,P,Fo6 (P),1.1103,6.2588
Ra,P,Fo6 (P),1.1751,6.2471
Ra,P,Fo6 (P),1.24,6.2473
Ra,P,Fo6 (P),1.3048,6.236
Ra,P,Fo6 (P),1.3696,6.2417
Ra,P,Fo6 (P),1.4345,6.2409
Ra,P,Fo6 (P),1.4993,6.1641
Ra,P,Fo6 (P),1.5642,6.1577
Ra,P,Fo6 (P),1.629,6.1373
Ra,P,Fo6 (P),1.6939,6.1397
Ra,P,Fo6 (P),1.7587,6.138
Ra,P,Fo6 (P),1.8236,6.1375
Ra,Ft,Fo9 (Ft),-1.4679,5.89
Ra,Ft,Fo9 (Ft),-1.4015,5.9245
Ra,Ft,Fo9 (Ft),-1.3351,5.9873
Ra,Ft,Fo9 (Ft),-1.2687,6.0556
Ra,Ft,Fo9 (Ft),-1.2022,6.0345
Ra,Ft,Fo9 (Ft),-1.1358,6.0183
Ra,Ft,Fo9 (Ft),-1.0694,6.047
Ra,Ft,Fo9 (Ft),-1.0029,6.1229
Ra,Ft,Fo9 (Ft),-0.9365,6.1466
Ra,Ft,Fo9 (Ft),-0.8701,6.1576
Ra,Ft,Fo9 (Ft),-0.8037,6.09
Ra,Ft,Fo9 (Ft),-0.7372,6.1936
Ra,Ft,Fo9 (Ft),-0.6708,6.2211
Ra,Ft,Fo9 (Ft),-0.6044,6.3032
Ra,Ft,Fo9 (Ft),-0.5379,6.2203
Ra,Ft,Fo9 (Ft),-0.4715,6.1239
Ra,Ft,Fo9 (Ft),-0.4051,6.1727
Ra,Ft,Fo9 (Ft),-0.3387,6.1313
Ra,Ft,Fo9 (Ft),-0.2722,6.1312
Ra,Ft,Fo9 (Ft),-0.2058,6.1755
Ra,Ft,Fo9 (Ft),-0.1394,6.1983
Ra,Ft,Fo9 (Ft),-0.0729,6.1976
Ra,Ft,Fo9 (Ft),-0.0065,6.1658
Ra,Ft,Fo9 (Ft),0.0599,6.1967
Ra,Ft,Fo9 (Ft),0.1263,6.1551
Ra,Ft,Fo9 (Ft),0.1928,6.1828
Ra,Ft,Fo9 (Ft),0.2592,6.1861
Ra,Ft,Fo9 (Ft),0.3256,6.1637
Ra,Ft,Fo9 (Ft),0.3921,6.1294
Ra,Ft,Fo9 (Ft),0.4585,6.1355
Ra,Ft,Fo9 (Ft),0.5249,6.1193
Ra,Ft,Fo9 (Ft),0.5913,6.1232
Ra,Ft,Fo9 (Ft),0.6578,6.1186
Ra,Ft,Fo9 (Ft),0.7242,6.1187
Ra,Ft,Fo9 (Ft),0.7906,6.1138
Ra,Ft,Fo9 (Ft),0.8571,6.1159
Ra,Ft,Fo9 (Ft),0.9235,6.1112
Ra,Ft,Fo9 (Ft),0.9899,6.1026
Ra,Ft,Fo9 (Ft),1.0563,6.1042
Ra,Ft,Fo9 (Ft),1.1228,6.1043
Ra,Ft,Fo9 (Ft),1.1892,6.1095
Ra,Ft,Fo9 (Ft),1.2556,6.1128
Ra,Ft,Fo9 (Ft),1.3221,6.1166
Ra,Ft,Fo9 (Ft),1.3885,6.1168
Ra,Ft,Fo9 (Ft),1.4549,6.1157
Ra,Ft,Fo9 (Ft),1.5213,6.1094
Ra,Ft,Fo9 (Ft),1.5878,6.1003
Ra,Ft,Fo9 (Ft),1.6542,6.1049
Ra,Ft,Fo9 (Ft),1.7206,6.0734
Ra,Ft,Fo9 (Ft),1.7871,6.0838
Ra,Fe2_Erev,Fe2 (E_rev),-1.1411,6.1205
Ra,Fe2_Erev,Fe2 (E_rev),-1.0834,6.1185
Ra,Fe2_Erev,Fe2 (E_rev),-1.0258,6.1128
Ra,Fe2_Erev,Fe2 (E_rev),-0.9681,6.1251
Ra,Fe2_Erev,Fe2 (E_rev),-0.9104,6.0821
Ra,Fe2_Erev,Fe2 (E_rev),-0.8527,6.0576
Ra,Fe2_Erev,Fe2 (E_rev),-0.795,6.0733
Ra,Fe2_Erev,Fe2 (E_rev),-0.7373,6.0608
Ra,Fe2_Erev,Fe2 (E_rev),-0.6796,6.0551
Ra,Fe2_Erev,Fe2 (E_rev),-0.6219,6.088
Ra,Fe2_Erev,Fe2 (E_rev),-0.5643,6.0772
Ra,Fe2_Erev,Fe2 (E_rev),-0.5066,6.0748
Ra,Fe2_Erev,Fe2 (E_rev),-0.4489,6.0784
Ra,Fe2_Erev,Fe2 (E_rev),-0.3912,6.0799
Ra,Fe2_Erev,Fe2 (E_rev),-0.3335,6.0807
Ra,Fe2_Erev,Fe2 (E_rev),-0.2758,6.0749
Ra,Fe2_Erev,Fe2 (E_rev),-0.2181,6.0753
Ra,Fe2_Erev,Fe2 (E_rev),-0.1604,6.0755
Ra,Fe2_Erev,Fe2 (E_rev),-0.1028,6.0752
Ra,Fe2_Erev,Fe2 (E_rev),-0.0451,6.0785
Ra,Fe2_Erev,Fe2 (E_rev),0.0126,6.0905
Ra,Fe2_Erev,Fe2 (E_rev),0.0703,6.1114
Ra,Fe2_Erev,Fe2 (E_rev),0.128,6.1765
Ra,Fe2_Erev,Fe2 (E_rev),0.1857,6.0288
Ra,Fe2_Erev,Fe2 (E_rev),0.2434,6.0771
Ra,Fe2_Erev,Fe2 (E_rev),0.3011,6.0928
Ra,Fe2_Erev,Fe2 (E_rev),0.3587,6.1448
