,Label,Group,count,mean,std,min,25%,50%,75%,max
n,Fo1 (n),Fo,2640.0,9000.0,2236.4916,6000.0,7500.0,9000.0,10500.0,12000.0
f,Fo2 (f),Fo,2640.0,2250.0,559.1229,1500.0,1875.0,2250.0,2625.0,3000.0
Fz,Fo3 (Fz),Fo,2640.0,16.0953,25.55,6.08,9.12,15.2,21.28,1262.51
Fx,Fo4 (Fx),Fo,2640.0,9.6262,5.4786,2.94,4.51,9.02,13.53,30.11
Fy,Fo5 (Fy),Fo,2640.0,13.3791,8.405,2.84,5.78,13.24,19.02,39.72
P,Fo6 (P),Fo,2640.0,437.8317,54.7674,347.4,394.5,426.6,481.8,573.3
SE,Fo7 (SE),Fo,2640.0,6846.0981,1599.4523,4256.45,5706.6125,6551.3,7862.4,11214.0
Fr,Fo8 (Fr),Fo,2640.0,7.4676,6.4186,-7.0703,1.5114,8.1981,12.0934,24.6221
Ft,Fo9 (Ft),Fo,2640.0,15.5906,5.682,3.7481,11.8305,14.7456,19.2279,39.7083
Fe1_lF,Fe1 (λ_F),Fe,2640.0,0.4616,0.3304,-0.2403,0.1195,0.5956,0.7776,0.7818
Fe2_Erev,Fe2 (E_rev),Fe,2640.0,3.0255,0.4569,2.364,2.619,2.9392,3.3154,3.96
Fe3_lxy,Fe3 (λ_xy),Fe,2640.0,1.33,1.4202,0.0824,0.302,0.7418,2.035,9.9046
Fe4_Ftn,Fe4 (F̂_t),Fe,2640.0,1.1825,0.6297,0.0116,0.7307,1.0134,1.4974,4.0807
Fe5_Qp,Fe5 (Q′),Fe,2640.0,0.2068,0.0565,0.1199,0.1646,0.1945,0.246,0.356
Fe6_FI,Fe6 (FI),Fe,2640.0,17.9598,7.0535,4.0877,13.1048,16.8042,22.4249,44.2016
Fe7_Fsc,Fe7 (Fsc),Fe,2640.0,0.0071,0.0164,0.002,0.0051,0.0061,0.0081,0.8417
Ra,"Ta1 (Ra, μm)",Target,2640.0,6.1004,0.6495,4.291,5.6958,6.028,6.518,9.633
Lp,"Ta2 (Lp, dB)",Target,2640.0,80.9,1.9517,75.2,79.6,80.7,82.2,87.8
