,Fo1 (n),Fo2 (f),Fo3 (Fz),Fo4 (Fx),Fo5 (Fy),Fo6 (P),Fo7 (SE),Fo8 (Fr),Fo9 (Ft),Fe1 (λ_F),Fe2 (E_rev),Fe3 (λ_xy),Fe4 (F̂_t),Fe5 (Q′),Fe6 (FI),Fe7 (Fsc),"Ta1 (Ra, μm)","Ta2 (Lp, dB)"
Fo1 (n),1.0,0.0,0.06,-0.2057,-0.2411,0.9527,0.5056,-0.1739,-0.3992,-0.016,-0.9405,-0.054,-0.3559,0.4309,-0.3848,0.053,-0.0307,0.5122
Fo2 (f),0.0,1.0,0.1395,0.1994,0.2538,0.1759,-0.8294,0.151,0.4697,-0.0549,0.13,0.1114,-0.3613,-0.8727,0.4404,-0.0011,0.6399,0.4689
Fo3 (Fz),0.06,0.1395,1.0,0.0335,0.029,0.0753,-0.0785,0.0162,0.0615,-0.0095,-0.0368,0.0178,-0.2035,-0.0884,0.0558,0.9851,0.1063,0.1333
Fo4 (Fx),-0.2057,0.1994,0.0335,1.0,-0.2923,-0.1838,-0.2691,-0.4183,0.5004,-0.6673,0.2238,0.6602,0.2218,-0.2606,0.2622,0.0042,0.1742,0.0669
Fo5 (Fy),-0.2411,0.2538,0.029,-0.2923,1.0,-0.1891,-0.3227,0.98,0.6476,0.7951,0.2583,-0.6987,0.2585,-0.3155,0.8243,-0.0021,0.1025,0.0196
Fo6 (P),0.9527,0.1759,0.0753,-0.1838,-0.1891,1.0,0.3612,-0.1389,-0.3199,-0.0151,-0.8103,-0.0433,-0.3925,0.2772,-0.3067,0.0451,0.073,0.5309
Fo7 (SE),0.5056,-0.8294,-0.0785,-0.2691,-0.3227,0.3612,1.0,-0.2048,-0.5816,0.0484,-0.5554,-0.1251,0.1398,0.996,-0.5488,0.0345,-0.5417,-0.1272
Fo8 (Fr),-0.1739,0.151,0.0162,-0.4183,0.98,-0.1389,-0.2048,1.0,0.5002,0.8793,0.1826,-0.8088,0.232,-0.1986,0.7055,-0.0004,0.034,-0.0068
Fo9 (Ft),-0.3992,0.4697,0.0615,0.5004,0.6476,-0.3199,-0.5816,0.5002,1.0,0.12,0.4359,-0.0146,0.3559,-0.5704,0.9631,-0.0018,0.2833,0.0983
Fe1 (λ_F),-0.016,-0.0549,-0.0095,-0.6673,0.7951,-0.0151,0.0484,0.8793,0.12,1.0,0.0068,-0.9126,0.116,0.0511,0.3646,0.0023,-0.1006,-0.0616
Fe2 (E_rev),-0.9405,0.13,-0.0368,0.2238,0.2583,-0.8103,-0.5554,0.1826,0.4359,0.0068,1.0,0.0626,0.3034,-0.4959,0.4178,-0.0482,0.1043,-0.4001
Fe3 (λ_xy),-0.054,0.1114,0.0178,0.6602,-0.6987,-0.0433,-0.1251,-0.8088,-0.0146,-0.9126,0.0626,1.0,-0.0992,-0.1248,-0.2333,-0.0017,0.1326,0.0359
Fe4 (F̂_t),-0.3559,-0.3613,-0.2035,0.2218,0.2585,-0.3925,0.1398,0.232,0.3559,0.116,0.3034,-0.0992,1.0,0.181,0.3461,-0.1263,-0.2429,-0.3586
Fe5 (Q′),0.4309,-0.8727,-0.0884,-0.2606,-0.3155,0.2772,0.996,-0.1986,-0.5704,0.0511,-0.4959,-0.1248,0.181,1.0,-0.5378,0.031,-0.5662,-0.1819
Fe6 (FI),-0.3848,0.4404,0.0558,0.2622,0.8243,-0.3067,-0.5488,0.7055,0.9631,0.3646,0.4178,-0.2333,0.3461,-0.5378,1.0,-0.0025,0.248,0.0747
Fe7 (Fsc),0.053,-0.0011,0.9851,0.0042,-0.0021,0.0451,0.0345,-0.0004,-0.0018,0.0023,-0.0482,-0.0017,-0.1263,0.031,-0.0025,1.0,0.0152,0.053
"Ta1 (Ra, μm)",-0.0307,0.6399,0.1063,0.1742,0.1025,0.073,-0.5417,0.034,0.2833,-0.1006,0.1043,0.1326,-0.2429,-0.5662,0.248,0.0152,1.0,0.3769
"Ta2 (Lp, dB)",0.5122,0.4689,0.1333,0.0669,0.0196,0.5309,-0.1272,-0.0068,0.0983,-0.0616,-0.4001,0.0359,-0.3586,-0.1819,0.0747,0.053,0.3769,1.0
