Target,Actual,Predicted,Residual
Ra,6.508,6.5928,-0.0848
Ra,6.711,6.6674,0.0436
Ra,6.753,6.5915,0.1615
Ra,6.657,6.6532,0.0038
Ra,6.211,6.6313,-0.4203
Ra,6.29,6.6711,-0.3811
Ra,6.205,6.586,-0.381
Ra,6.277,6.3619,-0.0849
Ra,6.236,6.1323,0.1037
Ra,6.195,6.0833,0.1117
Ra,6.129,6.0726,0.0564
Ra,6.122,6.0323,0.0897
Ra,6.113,5.9729,0.1401
Ra,6.369,6.4615,-0.0925
Ra,6.318,6.079,0.239
Ra,6.091,6.075,0.016
Ra,6.351,6.1532,0.1978
Ra,6.389,6.4615,-0.0725
Ra,6.168,6.1519,0.0161
Ra,6.258,6.4658,-0.2078
Ra,6.353,6.4917,-0.1387
Ra,6.015,5.978,0.037
Ra,6.453,6.2183,0.2347
Ra,6.335,6.461,-0.126
Ra,6.385,6.4173,-0.0323
Ra,6.029,6.0439,-0.0149
Ra,6.216,6.2395,-0.0235
Ra,6.118,6.0435,0.0745
Ra,6.324,6.4534,-0.1294
Ra,6.343,6.6256,-0.2826
Ra,6.148,6.0382,0.1098
Ra,6.083,6.275,-0.192
Ra,6.168,6.2736,-0.1056
Ra,7.523,7.4416,0.0814
Ra,7.551,7.4402,0.1108
Ra,7.341,7.1506,0.1904
Ra,7.256,7.1506,0.1054
Ra,7.337,7.3011,0.0359
Ra,7.029,7.0626,-0.0336
Ra,7.218,7.3122,-0.0942
Ra,7.024,6.9621,0.0619
Ra,6.964,6.9113,0.0527
Ra,7.082,6.9236,0.1584
Ra,7.4,7.1572,0.2428
Ra,7.17,7.1414,0.0286
Ra,7.456,7.2012,0.2548
Ra,7.331,7.2308,0.1002
Ra,7.145,7.209,-0.064
Ra,7.22,7.1757,0.0443
Ra,7.313,7.1271,0.1859
Ra,7.249,7.1524,0.0966
Ra,7.244,7.1427,0.1013
Ra,7.392,7.155,0.237
Ra,7.428,7.4196,0.0084
Ra,7.324,7.2142,0.1098
Ra,7.517,7.4754,0.0416
Ra,7.456,7.3134,0.1426
Ra,7.295,7.0686,0.2264
Ra,7.483,7.3307,0.1523
Ra,7.005,7.0364,-0.0314
Ra,7.077,7.0093,0.0677
Ra,6.858,6.9294,-0.0714
Ra,7.018,6.9123,0.1057
Ra,6.965,6.8969,0.0681
Ra,6.671,6.8075,-0.1365
Ra,6.681,6.8509,-0.1699
Ra,7.932,7.7208,0.2112
Ra,7.956,7.7256,0.2304
Ra,7.857,7.8215,0.0355
Ra,7.998,7.8119,0.1861
Ra,7.466,7.4092,0.0568
Ra,7.783,7.2925,0.4905
Ra,7.397,7.1322,0.2648
Ra,7.501,6.7899,0.7111
Ra,7.542,7.5298,0.0122
Ra,7.931,7.7045,0.2265
Ra,7.678,7.7002,-0.0222
Ra,7.593,7.5352,0.0578
Ra,7.835,7.8209,0.0141
Ra,7.763,8.1484,-0.3854
Ra,6.911,6.8692,0.0418
Ra,7.068,6.8774,0.1906
Ra,7.819,7.5281,0.2909
Ra,7.25,7.3104,-0.0604
Ra,7.365,7.2601,0.1049
Ra,7.243,7.1323,0.1107
Ra,7.238,6.8472,0.3908
Ra,7.135,6.9447,0.1903
Ra,6.855,6.785,0.07
Ra,6.742,6.9098,-0.1678
Ra,6.69,6.8071,-0.1171
Ra,6.893,6.807,0.086
Ra,7.019,7.3742,-0.3552
Ra,6.776,6.8194,-0.0434
Ra,7.753,7.8095,-0.0565
Ra,7.213,7.5071,-0.2941
Ra,7.698,7.8387,-0.1407
Ra,7.641,7.8429,-0.2019
Ra,7.539,7.4718,0.0672
Ra,7.884,7.7598,0.1242
Ra,7.488,7.5657,-0.0777
Ra,7.577,7.5652,0.0118
Ra,7.531,7.5302,0.0008
Ra,7.61,7.5667,0.0433
Ra,7.499,7.5599,-0.0609
Ra,7.511,7.5303,-0.0193
Ra,7.444,7.5431,-0.0991
Ra,7.479,7.5614,-0.0824
Ra,7.698,7.5897,0.1083
Ra,7.721,7.5875,0.1335
Ra,7.932,7.7003,0.2317
Ra,7.952,7.8395,0.1125
Ra,7.766,7.7516,0.0144
Ra,7.929,7.7325,0.1965
Ra,7.959,7.8253,0.1337
Ra,7.974,7.7585,0.2155
Ra,7.841,7.8226,0.0184
Ra,7.97,7.8592,0.1108
Ra,7.997,7.73,0.267
Ra,7.894,7.8601,0.0339
Ra,7.937,7.7736,0.1634
Ra,7.991,8.0264,-0.0354
Ra,7.844,7.8155,0.0285
Ra,7.907,7.8208,0.0862
Ra,8.064,8.0103,0.0537
Ra,7.957,7.9573,-0.0003
Ra,8.11,7.9401,0.1699
Ra,7.701,7.7116,-0.0106
Ra,8.038,8.0128,0.0252
Ra,8.118,8.0252,0.0928
Ra,8.29,8.3292,-0.0392
Ra,8.543,8.5115,0.0315
Ra,5.347,5.7306,-0.3836
Ra,5.622,5.8476,-0.2256
Ra,5.252,5.3285,-0.0765
Ra,5.281,5.3769,-0.0959
Ra,5.306,5.4524,-0.1464
Ra,5.4,5.7932,-0.3932
Ra,5.406,5.5113,-0.1053
Ra,5.598,5.9691,-0.3711
Ra,5.025,5.3554,-0.3304
Ra,5.101,5.0455,0.0555
Ra,5.503,5.5918,-0.0888
Ra,4.788,4.8313,-0.0433
Ra,5.141,5.0455,0.0955
Ra,4.933,4.9973,-0.0643
Ra,5.132,5.1958,-0.0638
Ra,5.143,5.1368,0.0062
Ra,4.919,4.9509,-0.0319
Ra,5.04,5.0318,0.0082
Ra,5.034,5.0308,0.0032
Ra,4.763,4.8834,-0.1204
Ra,4.436,4.5087,-0.0727
Ra,5.277,5.2448,0.0322
Ra,4.845,4.8941,-0.0491
Ra,5.581,5.6512,-0.0702
