Target,Residual
Ra,-0.0848
Ra,0.0436
Ra,0.1615
Ra,0.0038
Ra,-0.4203
Ra,-0.3811
Ra,-0.381
Ra,-0.0849
Ra,0.1037
Ra,0.1117
Ra,0.0564
Ra,0.0897
Ra,0.1401
Ra,-0.0925
Ra,0.239
Ra,0.016
Ra,0.1978
Ra,-0.0725
Ra,0.0161
Ra,-0.2078
Ra,-0.1387
Ra,0.037
Ra,0.2347
Ra,-0.126
Ra,-0.0323
Ra,-0.0149
Ra,-0.0235
Ra,0.0745
Ra,-0.1294
Ra,-0.2826
Ra,0.1098
Ra,-0.192
Ra,-0.1056
Ra,0.0814
Ra,0.1108
Ra,0.1904
Ra,0.1054
Ra,0.0359
Ra,-0.0336
Ra,-0.0942
Ra,0.0619
Ra,0.0527
Ra,0.1584
Ra,0.2428
Ra,0.0286
Ra,0.2548
Ra,0.1002
Ra,-0.064
Ra,0.0443
Ra,0.1859
Ra,0.0966
Ra,0.1013
Ra,0.237
Ra,0.0084
Ra,0.1098
Ra,0.0416
Ra,0.1426
Ra,0.2264
Ra,0.1523
Ra,-0.0314
Ra,0.0677
Ra,-0.0714
Ra,0.1057
Ra,0.0681
Ra,-0.1365
Ra,-0.1699
Ra,0.2112
Ra,0.2304
Ra,0.0355
Ra,0.1861
Ra,0.0568
Ra,0.4905
Ra,0.2648
Ra,0.7111
Ra,0.0122
Ra,0.2265
Ra,-0.0222
Ra,0.0578
Ra,0.0141
Ra,-0.3854
Ra,0.0418
Ra,0.1906
Ra,0.2909
Ra,-0.0604
Ra,0.1049
Ra,0.1107
Ra,0.3908
Ra,0.1903
Ra,0.07
Ra,-0.1678
Ra,-0.1171
Ra,0.086
Ra,-0.3552
Ra,-0.0434
Ra,-0.0565
Ra,-0.2941
Ra,-0.1407
Ra,-0.2019
Ra,0.0672
Ra,0.1242
Ra,-0.0777
Ra,0.0118
Ra,0.0008
Ra,0.0433
Ra,-0.0609
Ra,-0.0193
Ra,-0.0991
Ra,-0.0824
Ra,0.1083
Ra,0.1335
Ra,0.2317
Ra,0.1125
Ra,0.0144
Ra,0.1965
Ra,0.1337
Ra,0.2155
Ra,0.0184
Ra,0.1108
Ra,0.267
Ra,0.0339
Ra,0.1634
Ra,-0.0354
Ra,0.0285
Ra,0.0862
Ra,0.0537
Ra,-0.0003
Ra,0.1699
Ra,-0.0106
Ra,0.0252
Ra,0.0928
Ra,-0.0392
Ra,0.0315
Ra,-0.3836
Ra,-0.2256
Ra,-0.0765
Ra,-0.0959
Ra,-0.1464
Ra,-0.3932
Ra,-0.1053
Ra,-0.3711
Ra,-0.3304
Ra,0.0555
Ra,-0.0888
Ra,-0.0433
Ra,0.0955
Ra,-0.0643
Ra,-0.0638
Ra,0.0062
Ra,-0.0319
Ra,0.0082
Ra,0.0032
Ra,-0.1204
Ra,-0.0727
Ra,0.0322
Ra,-0.0491
Ra,-0.0702
Ra,-0.0286
Ra,-0.0585
Ra,-0.057
Ra,-0.0056
Ra,0.0769
Ra,0.0614
Ra,0.3145
Ra,0.2347
Ra,0.5212
Ra,0.0762
Ra,0.0513
Ra,0.0093
Ra,0.0773
Ra,0.1578
Ra,-0.131
Ra,0.0879
Ra,-0.1407
Ra,-0.0007
Ra,0.2103
Ra,-0.0055
Ra,0.0538
Ra,0.0476
Ra,-0.0209
Ra,-0.1268
Ra,-0.0189
Ra,0.0762
Ra,0.048
Ra,0.25
Ra,-0.0314
Ra,0.0066
Ra,-0.0695
Ra,0.0418
Ra,-0.2589
Ra,0.1384
Ra,-0.0691
Ra,-0.0507
Ra,-0.1693
Ra,-0.0237
Ra,0.1177
Ra,0.0719
Ra,0.2527
Ra,-0.0167
Ra,-0.0251
Ra,0.0313
Ra,-0.0096
Ra,0.0483
Ra,-0.0689
Ra,0.0893
Ra,0.194
Ra,-0.1432
Ra,-0.154
Ra,-0.3363
Ra,-0.0916
Ra,-0.0811
Ra,-0.1576
Ra,-0.1536
Ra,-0.0824
Ra,0.0881
Ra,-0.1536
Ra,0.0561
Ra,0.0274
Ra,-0.1406
Ra,-0.1088
Ra,-0.0783
Ra,-0.0599
Ra,0.0161
Ra,-0.0142
Ra,-0.0525
Ra,0.3555
Ra,-0.0278
Ra,0.0031
Ra,0.0955
Ra,-0.2253
Ra,0.2428
Ra,0.0069
Ra,-0.2165
Ra,-0.0852
Ra,-0.1473
Ra,-0.0803
Ra,0.1199
Ra,-0.0009
Ra,-0.0337
Ra,0.0921
Ra,-0.0352
Ra,0.1045
Ra,0.1262
Ra,-0.06
Ra,0.0754
Ra,0.0189
Ra,0.1974
Ra,0.3225
Ra,0.3122
Ra,0.4941
Ra,0.2272
Ra,0.181
Ra,0.0418
Ra,0.1852
Ra,0.1351
Ra,0.223
Ra,0.0054
Ra,0.2471
Ra,0.0418
Ra,0.1535
Ra,0.0758
Ra,0.112
Ra,0.158
Ra,0.1426
Ra,0.0737
Ra,0.0651
Ra,-0.1566
Ra,-0.0636
Ra,-0.0771
Ra,-0.2274
Ra,0.0457
Ra,-0.0952
Ra,0.1155
Ra,-0.0504
Ra,0.0504
Ra,0.0689
Ra,-0.0747
Ra,-0.0205
Ra,0.1982
Ra,-0.1585
Ra,0.099
Ra,0.06
Ra,0.0946
Ra,-0.0157
Ra,-0.1165
Ra,-0.0285
Ra,-0.3058
Ra,-0.1129
Ra,-0.1329
Ra,-0.1154
Ra,-0.2513
Ra,-0.1189
Ra,-0.0119
Ra,-0.1926
Ra,-0.1741
Ra,-0.1897
Ra,-0.03
Ra,0.1593
Ra,-0.0623
Ra,0.0849
Ra,0.055
Ra,-0.0548
Ra,-0.1438
Ra,0.0036
Ra,-0.1013
Ra,-0.1236
Ra,0.0112
Ra,0.1656
Ra,0.1024
Ra,0.1099
Ra,0.01
Ra,-0.0203
Ra,-0.1377
Ra,-0.0632
Ra,-0.157
Ra,-0.08
Ra,-0.1203
Ra,-0.1693
Ra,0.0118
Ra,-0.1371
Ra,-0.0894
Ra,0.0681
Ra,-0.1002
Ra,-0.2469
Ra,-0.0121
Ra,0.2164
Ra,-0.012
Ra,0.0499
Ra,0.275
Ra,-0.1776
Ra,0.2327
Ra,0.0334
Ra,-0.0857
Ra,-0.1582
Ra,-0.0972
Ra,-0.3398
Ra,-0.1196
Ra,-0.0755
Ra,-0.2327
Ra,0.2152
Ra,0.0021
Ra,0.0685
Ra,0.1067
Ra,0.1569
Ra,0.1414
Ra,-0.1096
Ra,0.1906
Ra,0.3314
Ra,0.1815
Ra,0.1992
Ra,0.1019
Ra,0.054
Ra,-0.2224
Ra,0.0652
Ra,-0.3298
Ra,-0.2434
Ra,0.364
Ra,-0.2821
Ra,0.2012
Ra,0.0461
Ra,0.1643
Ra,0.1747
Ra,-0.3002
Ra,-0.0188
Ra,0.5872
Ra,-0.3136
Ra,0.0611
Ra,-0.2049
Ra,0.0096
Ra,-0.1776
Ra,-0.1798
Ra,0.1011
Ra,-0.1072
Ra,-0.1824
Ra,0.1906
Ra,0.0226
Ra,-0.0885
Ra,-0.0314
Ra,-0.2208
Ra,-0.1988
Ra,-0.0385
Ra,0.1586
Ra,0.3064
Ra,-0.257
Ra,-0.0031
Ra,0.4875
Ra,-0.0067
Ra,-0.2467
Ra,-0.0727
Ra,-0.2431
Ra,0.3106
Ra,-0.1178
Ra,-0.1012
Ra,0.0941
Ra,-0.0413
Ra,-0.1875
Ra,-0.1522
Ra,-0.0519
Ra,0.1075
Ra,-0.0508
Ra,0.0064
Ra,0.0936
Ra,0.095
Ra,0.0921
Ra,-0.0601
Ra,0.1177
Ra,-0.0236
Ra,0.0249
Ra,0.0527
Ra,-0.0908
Ra,0.1601
Ra,-0.1627
Ra,0.0434
Ra,0.0557
Ra,-0.0937
Ra,0.0223
Ra,0.1204
Ra,-0.0579
Ra,-0.026
Ra,0.0333
Ra,-0.1274
Ra,-0.0206
Ra,-0.0336
Ra,0.1256
Ra,0.1073
Ra,0.3971
Ra,-0.073
Ra,-0.2023
Ra,-0.2902
Ra,-0.0187
Ra,0.0713
Ra,-0.0455
Ra,0.1395
Ra,-0.153
Ra,0.1898
Ra,0.0948
Ra,0.0904
Ra,-0.2083
Ra,0.2354
Ra,0.0244
Ra,0.0227
Ra,0.0025
Ra,-0.0914
Ra,0.2104
Ra,-0.0991
Ra,-0.1223
Ra,-0.0159
Ra,0.2386
Ra,0.0022
Ra,0.0801
Ra,-0.1079
Ra,0.0234
Ra,-0.0451
Ra,-0.1569
Ra,-0.0705
Ra,0.1125
Ra,-0.1282
Ra,-0.0093
Ra,-0.1203
Ra,-0.0474
Ra,-0.1332
Ra,-0.0941
Ra,-0.0945
Ra,-0.0026
Ra,-0.0914
Ra,-0.0195
Ra,-0.0686
Ra,-0.2817
Ra,0.1355
Ra,0.0017
Ra,-0.1771
Ra,-0.158
Ra,-0.086
Ra,-0.2144
Ra,0.0608
Ra,0.1494
Ra,0.0309
Ra,-0.0578
Ra,0.0359
Ra,0.1556
Ra,0.1377
Ra,0.1746
Ra,-0.0239
Ra,0.0717
Ra,-0.085
Ra,0.0193
Ra,-0.1177
Ra,-0.1047
Ra,-0.0443
Ra,-0.1021
Ra,-0.2025
Ra,0.0235
Ra,-0.0308
Ra,-0.2414
Ra,-0.1851
Ra,-0.3051
Ra,0.015
Ra,-0.1855
Ra,-0.12
Ra,0.0415
Ra,-0.0795
Ra,0.1397
Ra,-0.0929
Ra,0.2099
Ra,0.146
Ra,0.0315
Ra,0.0782
Ra,0.1894
Ra,0.0314
Ra,-0.1106
Ra,0.1897
Ra,-0.1815
Ra,0.0755
Ra,-0.1132
Ra,-0.0704
Ra,0.0958
Ra,-0.0686
Ra,-0.084
Ra,-0.1221
Ra,-0.0858
Ra,-0.1144
Ra,0.3165
Ra,-0.0269
Ra,0.075
Ra,-0.1381
Ra,0.0268
Ra,0.0389
Ra,0.0433
Ra,-0.0883
Lp,-0.0695
Lp,-0.3695
Lp,-0.1695
Lp,-0.1695
Lp,-0.2695
Lp,-0.1695
Lp,-0.1695
Lp,0.0305
Lp,-0.0695
Lp,-0.0695
Lp,-0.1695
Lp,-0.1695
Lp,0.0305
Lp,-0.0695
Lp,-0.0695
Lp,-0.1695
Lp,-0.0695
Lp,-0.0695
Lp,-0.1695
Lp,-0.2695
Lp,-0.2695
Lp,-0.1321
Lp,0.0305
Lp,-0.3695
Lp,-0.0695
Lp,-0.0695
Lp,-0.1695
Lp,-0.1695
Lp,-0.0695
Lp,-0.1652
Lp,-0.2695
Lp,0.0305
Lp,-0.1695
Lp,0.3043
Lp,0.1735
Lp,0.3043
Lp,0.3043
Lp,0.2172
Lp,0.0629
Lp,-0.0145
Lp,-0.1456
Lp,-0.2456
Lp,-0.3456
Lp,-0.2278
Lp,-0.1278
Lp,-0.2141
Lp,0.118
Lp,0.0717
Lp,-0.0125
Lp,-0.3145
Lp,-0.1145
Lp,-0.2283
Lp,-0.1145
