Target,Feature,Label,SHAP_value,Feature_value
Ra,P,Fo6 (P),0.0135,-1.2038
Ra,P,Fo6 (P),0.0157,-1.1748
Ra,P,Fo6 (P),0.0157,-1.2677
Ra,P,Fo6 (P),0.02,-1.2561
Ra,P,Fo6 (P),0.016,-1.2038
Ra,P,Fo6 (P),0.0204,-1.2445
Ra,P,Fo6 (P),0.0133,-1.2096
Ra,P,Fo6 (P),0.0043,-1.1632
Ra,P,Fo6 (P),-0.0221,-1.2851
Ra,P,Fo6 (P),-0.0255,-1.3315
Ra,P,Fo6 (P),-0.0267,-1.2677
Ra,P,Fo6 (P),-0.0226,-1.198
Ra,P,Fo6 (P),-0.0271,-1.1632
Ra,P,Fo6 (P),0.0011,-1.2735
Ra,P,Fo6 (P),-0.0259,-1.3141
Ra,P,Fo6 (P),-0.0265,-1.2967
Ra,P,Fo6 (P),-0.0198,-1.2619
Ra,P,Fo6 (P),0.0008,-1.2909
Ra,P,Fo6 (P),-0.02,-1.2329
Ra,P,Fo6 (P),-0.0019,-1.2851
Ra,P,Fo6 (P),0.0021,-1.3954
Ra,P,Fo6 (P),-0.0174,-0.9949
Ra,P,Fo6 (P),-0.0161,-1.4882
Ra,P,Fo6 (P),0.001,-1.2096
Ra,P,Fo6 (P),-0.0013,-1.1516
Ra,P,Fo6 (P),-0.0263,-1.1052
Ra,P,Fo6 (P),-0.0055,-1.1168
Ra,P,Fo6 (P),-0.0261,-1.1284
Ra,P,Fo6 (P),-0.0004,-1.1052
Ra,P,Fo6 (P),0.0008,-1.0703
Ra,P,Fo6 (P),-0.0266,-1.111
Ra,P,Fo6 (P),-0.0356,-1.0936
Ra,P,Fo6 (P),-0.0353,-1.111
Ra,P,Fo6 (P),0.1082,-1.0239
Ra,P,Fo6 (P),0.106,-1.0065
Ra,P,Fo6 (P),0.1231,-1.0239
Ra,P,Fo6 (P),0.1231,-1.0239
Ra,P,Fo6 (P),0.0998,-0.9717
Ra,P,Fo6 (P),0.1295,-1.3141
Ra,P,Fo6 (P),0.0994,-0.8788
Ra,P,Fo6 (P),0.0503,-0.8266
Ra,P,Fo6 (P),0.0355,-0.815
Ra,P,Fo6 (P),0.0499,-0.8266
Ra,P,Fo6 (P),0.1074,-0.8614
Ra,P,Fo6 (P),0.1089,-0.8614
Ra,P,Fo6 (P),0.1104,-0.8904
Ra,P,Fo6 (P),0.157,-0.9369
Ra,P,Fo6 (P),0.1061,-0.8672
Ra,P,Fo6 (P),0.1379,-0.9194
Ra,P,Fo6 (P),0.1087,-0.8846
Ra,P,Fo6 (P),0.1002,-0.8788
Ra,P,Fo6 (P),0.1068,-0.8672
Ra,P,Fo6 (P),0.1013,-0.8788
Ra,P,Fo6 (P),0.1219,-0.8962
Ra,P,Fo6 (P),0.1298,-0.902
Ra,P,Fo6 (P),0.1622,-0.9369
Ra,P,Fo6 (P),0.1068,-0.9659
Ra,P,Fo6 (P),0.1936,-1.0413
Ra,P,Fo6 (P),0.1398,-1.111
Ra,P,Fo6 (P),0.2023,-1.0471
Ra,P,Fo6 (P),0.2007,-1.0878
Ra,P,Fo6 (P),0.1858,-1.111
Ra,P,Fo6 (P),0.1847,-1.0762
Ra,P,Fo6 (P),0.1926,-1.0471
Ra,P,Fo6 (P),0.178,-0.9717
Ra,P,Fo6 (P),0.1846,-0.902
Ra,P,Fo6 (P),0.0798,-0.635
Ra,P,Fo6 (P),0.1118,-0.6409
Ra,P,Fo6 (P),0.1273,-0.6583
Ra,P,Fo6 (P),0.1171,-0.6641
Ra,P,Fo6 (P),0.0012,-0.519
Ra,P,Fo6 (P),0.0473,-0.606
Ra,P,Fo6 (P),-0.0305,-0.5712
Ra,P,Fo6 (P),-0.0701,-0.5422
Ra,P,Fo6 (P),0.0801,-0.6292
Ra,P,Fo6 (P),0.0603,-0.6118
Ra,P,Fo6 (P),0.0805,-0.6176
Ra,P,Fo6 (P),0.0771,-0.6118
Ra,P,Fo6 (P),0.0993,-0.7221
Ra,P,Fo6 (P),0.1144,-1.0645
Ra,P,Fo6 (P),-0.1252,-0.4029
Ra,P,Fo6 (P),-0.1323,-0.3971
Ra,P,Fo6 (P),0.0814,-0.635
Ra,P,Fo6 (P),-0.0004,-0.4667
Ra,P,Fo6 (P),-0.0376,-0.5944
Ra,P,Fo6 (P),-0.0151,-0.4841
Ra,P,Fo6 (P),-0.062,-0.5422
Ra,P,Fo6 (P),-0.053,-0.5364
Ra,P,Fo6 (P),-0.0757,-0.577
Ra,P,Fo6 (P),-0.048,-0.5132
Ra,P,Fo6 (P),-0.0655,-0.5596
Ra,P,Fo6 (P),-0.062,-0.5712
Ra,P,Fo6 (P),-0.0265,-0.5422
Ra,P,Fo6 (P),-0.0561,-0.5596
Ra,P,Fo6 (P),0.1275,-1.0123
Ra,P,Fo6 (P),-0.0039,-0.4958
Ra,P,Fo6 (P),0.1167,-0.6989
Ra,P,Fo6 (P),0.1253,-0.6583
Ra,P,Fo6 (P),0.1261,-0.6757
Ra,P,Fo6 (P),-0.0416,-0.3623
Ra,P,Fo6 (P),-0.0775,-0.2578
Ra,P,Fo6 (P),-0.0775,-0.2462
Ra,P,Fo6 (P),-0.0884,-0.339
Ra,P,Fo6 (P),-0.0795,-0.252
Ra,P,Fo6 (P),-0.0825,-0.281
Ra,P,Fo6 (P),-0.0885,-0.339
Ra,P,Fo6 (P),-0.0829,-0.3042
Ra,P,Fo6 (P),-0.0838,-0.2752
Ra,P,Fo6 (P),-0.0691,-0.2288
Ra,P,Fo6 (P),-0.07,-0.2346
Ra,P,Fo6 (P),-0.075,-0.3449
Ra,P,Fo6 (P),0.0175,-0.4609
Ra,P,Fo6 (P),-0.0301,-0.1765
Ra,P,Fo6 (P),-0.0551,-0.1881
Ra,P,Fo6 (P),-0.0658,-0.2984
