Target,Feature,Label,Grid_value,Avg_prediction
Ra,P,Fo6 (P),-1.5983,6.526
Ra,P,Fo6 (P),-1.5285,6.5262
Ra,P,Fo6 (P),-1.4586,6.5263
Ra,P,Fo6 (P),-1.3887,6.5264
Ra,P,Fo6 (P),-1.3188,6.5263
Ra,P,Fo6 (P),-1.2489,6.5262
Ra,P,Fo6 (P),-1.179,6.5264
Ra,P,Fo6 (P),-1.1092,6.5268
Ra,P,Fo6 (P),-1.0393,6.5268
Ra,P,Fo6 (P),-0.9694,6.5229
Ra,P,Fo6 (P),-0.8995,6.5264
Ra,P,Fo6 (P),-0.8296,6.5207
Ra,P,Fo6 (P),-0.7598,6.4977
Ra,P,Fo6 (P),-0.6899,6.4981
Ra,P,Fo6 (P),-0.62,6.4961
Ra,P,Fo6 (P),-0.5501,6.4593
Ra,P,Fo6 (P),-0.4802,6.4643
Ra,P,Fo6 (P),-0.4104,6.4358
Ra,P,Fo6 (P),-0.3405,6.4282
Ra,P,Fo6 (P),-0.2706,6.4339
Ra,P,Fo6 (P),-0.2007,6.471
Ra,P,Fo6 (P),-0.1308,6.498
Ra,P,Fo6 (P),-0.061,6.4969
Ra,P,Fo6 (P),0.0089,6.4918
Ra,P,Fo6 (P),0.0788,6.4918
Ra,P,Fo6 (P),0.1487,6.4922
Ra,P,Fo6 (P),0.2186,6.4928
Ra,P,Fo6 (P),0.2884,6.4918
Ra,P,Fo6 (P),0.3583,6.4973
Ra,P,Fo6 (P),0.4282,6.5009
Ra,P,Fo6 (P),0.4981,6.5017
Ra,P,Fo6 (P),0.568,6.5019
Ra,P,Fo6 (P),0.6379,6.502
Ra,P,Fo6 (P),0.7077,6.5017
Ra,P,Fo6 (P),0.7776,6.5009
Ra,P,Fo6 (P),0.8475,6.5002
Ra,P,Fo6 (P),0.9174,6.4996
Ra,P,Fo6 (P),0.9873,6.499
Ra,P,Fo6 (P),1.0571,6.4986
Ra,P,Fo6 (P),1.127,6.499
Ra,P,Fo6 (P),1.1969,6.4999
Ra,P,Fo6 (P),1.2668,6.5154
Ra,P,Fo6 (P),1.3367,6.5238
Ra,P,Fo6 (P),1.4065,6.5272
Ra,P,Fo6 (P),1.4764,6.5293
Ra,P,Fo6 (P),1.5463,6.5386
Ra,P,Fo6 (P),1.6162,6.5381
Ra,P,Fo6 (P),1.6861,6.533
Ra,P,Fo6 (P),1.7559,6.5394
Ra,P,Fo6 (P),1.8258,6.5415
Ra,SE,Fo7 (SE),-1.6886,7.6496
Ra,SE,Fo7 (SE),-1.61,7.6536
Ra,SE,Fo7 (SE),-1.5314,7.6523
Ra,SE,Fo7 (SE),-1.4528,7.653
Ra,SE,Fo7 (SE),-1.3741,7.6566
Ra,SE,Fo7 (SE),-1.2955,7.6566
Ra,SE,Fo7 (SE),-1.2169,7.6481
Ra,SE,Fo7 (SE),-1.1382,7.5841
Ra,SE,Fo7 (SE),-1.0596,7.556
Ra,SE,Fo7 (SE),-0.981,7.1802
Ra,SE,Fo7 (SE),-0.9024,7.1797
Ra,SE,Fo7 (SE),-0.8237,7.1575
Ra,SE,Fo7 (SE),-0.7451,7.1361
Ra,SE,Fo7 (SE),-0.6665,7.0538
Ra,SE,Fo7 (SE),-0.5879,7.051
Ra,SE,Fo7 (SE),-0.5092,7.0551
Ra,SE,Fo7 (SE),-0.4306,7.0526
Ra,SE,Fo7 (SE),-0.352,7.0201
Ra,SE,Fo7 (SE),-0.2734,6.5995
Ra,SE,Fo7 (SE),-0.1947,6.0468
Ra,SE,Fo7 (SE),-0.1161,6.0554
Ra,SE,Fo7 (SE),-0.0375,6.0591
Ra,SE,Fo7 (SE),0.0411,6.0626
Ra,SE,Fo7 (SE),0.1198,6.057
Ra,SE,Fo7 (SE),0.1984,6.0451
Ra,SE,Fo7 (SE),0.277,6.0406
Ra,SE,Fo7 (SE),0.3556,6.0194
Ra,SE,Fo7 (SE),0.4343,6.003
Ra,SE,Fo7 (SE),0.5129,5.9843
Ra,SE,Fo7 (SE),0.5915,5.9816
Ra,SE,Fo7 (SE),0.6701,5.9292
Ra,SE,Fo7 (SE),0.7488,5.782
Ra,SE,Fo7 (SE),0.8274,5.7239
Ra,SE,Fo7 (SE),0.906,5.725
Ra,SE,Fo7 (SE),0.9846,5.7409
Ra,SE,Fo7 (SE),1.0633,5.753
Ra,SE,Fo7 (SE),1.1419,5.7532
Ra,SE,Fo7 (SE),1.2205,5.7558
Ra,SE,Fo7 (SE),1.2991,5.7557
Ra,SE,Fo7 (SE),1.3778,5.7557
Ra,SE,Fo7 (SE),1.4564,5.7557
Ra,SE,Fo7 (SE),1.535,5.7552
Ra,SE,Fo7 (SE),1.6136,5.7583
Ra,SE,Fo7 (SE),1.6923,5.7616
Ra,SE,Fo7 (SE),1.7709,5.7622
Ra,SE,Fo7 (SE),1.8495,5.762
Ra,SE,Fo7 (SE),1.9281,5.762
Ra,SE,Fo7 (SE),2.0068,5.762
Ra,SE,Fo7 (SE),2.0854,5.7611
Ra,SE,Fo7 (SE),2.164,5.7598
Ra,Ft,Fo9 (Ft),-1.215,6.2428
Ra,Ft,Fo9 (Ft),-1.152,6.2848
Ra,Ft,Fo9 (Ft),-1.0889,6.2754
Ra,Ft,Fo9 (Ft),-1.0259,6.2688
Ra,Ft,Fo9 (Ft),-0.9629,6.2452
Ra,Ft,Fo9 (Ft),-0.8998,6.2655
Ra,Ft,Fo9 (Ft),-0.8368,6.475
Ra,Ft,Fo9 (Ft),-0.7738,6.441
Ra,Ft,Fo9 (Ft),-0.7107,6.5313
Ra,Ft,Fo9 (Ft),-0.6477,6.5647
Ra,Ft,Fo9 (Ft),-0.5846,6.5463
Ra,Ft,Fo9 (Ft),-0.5216,6.522
Ra,Ft,Fo9 (Ft),-0.4586,6.4854
Ra,Ft,Fo9 (Ft),-0.3955,6.4907
Ra,Ft,Fo9 (Ft),-0.3325,6.4782
Ra,Ft,Fo9 (Ft),-0.2695,6.462
Ra,Ft,Fo9 (Ft),-0.2064,6.4654
Ra,Ft,Fo9 (Ft),-0.1434,6.5068
Ra,Ft,Fo9 (Ft),-0.0804,6.4969
Ra,Ft,Fo9 (Ft),-0.0173,6.4941
Ra,Ft,Fo9 (Ft),0.0457,6.6035
