Target,CV,frac,n_train,R2,RMSE
Ra,CV1_KFold,0.1,184,0.6116,0.3184
Ra,CV2_GKF,0.1,184,-6.7926,0.8837
Ra,CV3_Chrono,0.1,184,0.0912,0.287
Ra,CV1_KFold,0.2,368,0.7302,0.3258
Ra,CV2_GKF,0.2,368,-2.274,0.683
Ra,CV3_Chrono,0.2,368,0.6062,0.2765
Ra,CV1_KFold,0.3,552,0.8742,0.3117
Ra,CV2_GKF,0.3,552,-0.387,0.4937
Ra,CV3_Chrono,0.3,552,0.8471,0.2724
Ra,CV1_KFold,0.4,736,0.8633,0.3054
Ra,CV2_GKF,0.4,736,-1.3952,0.5782
Ra,CV3_Chrono,0.4,736,0.8582,0.2584
Ra,CV1_KFold,0.5,920,0.8859,0.2964
Ra,CV2_GKF,0.5,920,-1.6457,0.5922
Ra,CV3_Chrono,0.5,920,0.9165,0.229
Ra,CV1_KFold,0.6,1104,0.9225,0.2854
Ra,CV2_GKF,0.6,1104,-0.7522,0.4385
Ra,CV3_Chrono,0.6,1104,0.9474,0.2221
Ra,CV1_KFold,0.7,1288,0.9059,0.2988
Ra,CV2_GKF,0.7,1288,-0.8757,0.498
Ra,CV3_Chrono,0.7,1288,0.9391,0.2228
Ra,CV1_KFold,0.8,1472,0.9074,0.2976
Ra,CV2_GKF,0.8,1472,-0.9419,0.4616
Ra,CV3_Chrono,0.8,1472,0.9348,0.2328
Ra,CV1_KFold,0.9,1656,0.9072,0.2948
Ra,CV2_GKF,0.9,1656,-0.8452,0.4762
Ra,CV3_Chrono,0.9,1656,0.941,0.2251
Ra,CV1_KFold,1.0,1840,0.9003,0.2922
Ra,CV2_GKF,1.0,1840,-0.6301,0.4393
Ra,CV3_Chrono,1.0,1840,0.9417,0.2139
Lp,CV1_KFold,0.1,184,0.7612,0.3519
Lp,CV2_GKF,0.1,184,-21.0182,1.2978
Lp,CV3_Chrono,0.1,184,0.9443,0.1561
Lp,CV1_KFold,0.2,368,0.9046,0.377
Lp,CV2_GKF,0.2,368,-14.3698,1.26
Lp,CV3_Chrono,0.2,368,0.9388,0.2898
Lp,CV1_KFold,0.3,552,0.9267,0.3904
Lp,CV2_GKF,0.3,552,-13.8017,1.2018
Lp,CV3_Chrono,0.3,552,0.9681,0.2741
Lp,CV1_KFold,0.4,736,0.9056,0.4103
Lp,CV2_GKF,0.4,736,-2.6647,0.7434
Lp,CV3_Chrono,0.4,736,0.9201,0.3895
Lp,CV1_KFold,0.5,920,0.8858,0.4183
Lp,CV2_GKF,0.5,920,-8.2786,1.0397
Lp,CV3_Chrono,0.5,920,0.8964,0.4165
Lp,CV1_KFold,0.6,1104,0.8787,0.4144
Lp,CV2_GKF,0.6,1104,-12.1919,1.0981
Lp,CV3_Chrono,0.6,1104,0.893,0.4042
Lp,CV1_KFold,0.7,1288,0.8283,0.6647
Lp,CV2_GKF,0.7,1288,-9.5411,1.4108
Lp,CV3_Chrono,0.7,1288,0.8229,0.7124
Lp,CV1_KFold,0.8,1472,0.9088,0.6444
Lp,CV2_GKF,0.8,1472,-5.7378,1.1841
Lp,CV3_Chrono,0.8,1472,0.9323,0.5455
Lp,CV1_KFold,0.9,1656,0.9161,0.6724
Lp,CV2_GKF,0.9,1656,-6.0831,1.2633
Lp,CV3_Chrono,0.9,1656,0.943,0.5487
Lp,CV1_KFold,1.0,1840,0.9359,0.6667
Lp,CV2_GKF,1.0,1840,-11.8304,1.3712
Lp,CV3_Chrono,1.0,1840,0.9575,0.5338
