Target,Feature_i,Label_i,Feature_j,Label_j,Mean_Abs_Interaction
Ra,P,Fo6 (P),P,Fo6 (P),0.0366
Ra,P,Fo6 (P),SE,Fo7 (SE),0.0327
Ra,P,Fo6 (P),Ft,Fo9 (Ft),0.0195
Ra,P,Fo6 (P),Fe2_Erev,Fe2 (E_rev),0.0067
Ra,P,Fo6 (P),Fe5_Qp,Fe5 (Q′),0.0135
Ra,SE,Fo7 (SE),P,Fo6 (P),0.0327
Ra,SE,Fo7 (SE),SE,Fo7 (SE),0.6664
Ra,SE,Fo7 (SE),Ft,Fo9 (Ft),0.0713
Ra,SE,Fo7 (SE),Fe2_Erev,Fe2 (E_rev),0.0212
Ra,SE,Fo7 (SE),Fe5_Qp,Fe5 (Q′),0.0816
Ra,Ft,Fo9 (Ft),P,Fo6 (P),0.0195
Ra,Ft,Fo9 (Ft),SE,Fo7 (SE),0.0713
Ra,Ft,Fo9 (Ft),Ft,Fo9 (Ft),0.1304
Ra,Ft,Fo9 (Ft),Fe2_Erev,Fe2 (E_rev),0.017
Ra,Ft,Fo9 (Ft),Fe5_Qp,Fe5 (Q′),0.0341
Ra,Fe2_Erev,Fe2 (E_rev),P,Fo6 (P),0.0067
Ra,Fe2_Erev,Fe2 (E_rev),SE,Fo7 (SE),0.0212
Ra,Fe2_Erev,Fe2 (E_rev),Ft,Fo9 (Ft),0.017
Ra,Fe2_Erev,Fe2 (E_rev),Fe2_Erev,Fe2 (E_rev),0.06
Ra,Fe2_Erev,Fe2 (E_rev),Fe5_Qp,Fe5 (Q′),0.0113
Ra,Fe5_Qp,Fe5 (Q′),P,Fo6 (P),0.0135
Ra,Fe5_Qp,Fe5 (Q′),SE,Fo7 (SE),0.0816
Ra,Fe5_Qp,Fe5 (Q′),Ft,Fo9 (Ft),0.0341
Ra,Fe5_Qp,Fe5 (Q′),Fe2_Erev,Fe2 (E_rev),0.0113
Ra,Fe5_Qp,Fe5 (Q′),Fe5_Qp,Fe5 (Q′),0.196
Lp,n,Fo1 (n),n,Fo1 (n),0.8466
Lp,n,Fo1 (n),f,Fo2 (f),0.1655
Lp,n,Fo1 (n),P,Fo6 (P),0.2877
Lp,f,Fo2 (f),n,Fo1 (n),0.1655
Lp,f,Fo2 (f),f,Fo2 (f),0.8809
Lp,f,Fo2 (f),P,Fo6 (P),0.1587
Lp,P,Fo6 (P),n,Fo1 (n),0.2877
Lp,P,Fo6 (P),f,Fo2 (f),0.1587
Lp,P,Fo6 (P),P,Fo6 (P),2.0153
