,Label,Group,count,mean,std,min,25%,50%,75%,max
n,Fo1 (n),Fo,2640.0,9000.0,2236.4916,6000.0,7500.0,9000.0,10500.0,12000.0
f,Fo2 (f),Fo,2640.0,2250.0,559.1229,1500.0,1875.0,2250.0,2625.0,3000.0
Fz,Fo3 (Fz),Fo,2640.0,17.0718,9.433,5.98,9.12,15.1,24.32,66.78
Fx,Fo4 (Fx),Fo,2640.0,9.8758,7.9703,2.94,4.51,7.45,11.9625,43.54
Fy,Fo5 (Fy),Fo,2640.0,13.259,9.6906,2.84,5.79,10.3,19.12,45.51
P,Fo6 (P),Fo,2640.0,340.9455,51.8176,216.3,313.2,328.2,361.8,458.4
SE,Fo7 (SE),Fo,2640.0,5344.9413,1355.142,2559.55,4305.0,5261.1,6306.3,8927.1
Fr,Fo8 (Fr),Fo,2640.0,7.2908,7.3044,-9.5979,1.768,5.8563,11.7676,28.5674
Ft,Fo9 (Ft),Fo,2640.0,15.7514,8.7257,3.7481,8.5427,13.2483,22.1714,50.6754
Fe1_lF,Fe1 (λ_F),Fe,2640.0,0.485,0.3203,-0.264,0.241,0.6185,0.7728,0.7818
Fe2_Erev,Fe2 (E_rev),Fe,2640.0,2.3586,0.4319,1.6222,2.007,2.1705,2.5854,3.369
Fe3_lxy,Fe3 (λ_xy),Fe,2640.0,1.3345,1.6586,0.074,0.3406,0.7024,1.534,12.7415
Fe4_Ftn,Fe4 (F̂_t),Fe,2640.0,1.0225,0.5211,0.137,0.702,0.9282,1.2156,4.8955
Fe5_Qp,Fe5 (Q′),Fe,2640.0,0.1616,0.047,0.0721,0.126,0.1544,0.199,0.2834
Fe6_FI,Fe6 (FI),Fe,2640.0,18.157,10.0531,4.0877,9.5532,15.9717,24.7389,54.7019
Fe7_Fsc,Fe7 (Fsc),Fe,2640.0,0.0076,0.0033,0.002,0.0048,0.0076,0.0101,0.0223
Ra,"Ta1 (Ra, μm)",Target,2640.0,6.5123,0.9135,3.9,5.9738,6.4625,7.0922,9.599
Lp,"Ta2 (Lp, dB)",Target,2640.0,80.7622,2.6257,76.1,78.8,79.8,83.0,87.3
